#,Time(ms),CH1(mV),CH2(mV)
399,-0.0155600,600.00,-20.00
400,-0.0156000,620.00,0.00
401,-0.0156400,600.00,-20.00
402,-0.0156800,620.00,0.00
403,-0.0157200,620.00,-20.00
404,-0.0157600,640.00,0.00
405,-0.0158000,600.00,-20.00
406,-0.0158400,640.00,0.00
407,-0.0158800,620.00,-20.00
408,-0.0159200,640.00,0.00
409,-0.0159600,620.00,-20.00
410,-0.0160000,640.00,0.00
411,-0.0160400,620.00,-20.00
412,-0.0160800,640.00,0.00
413,-0.0161200,600.00,-20.00
414,-0.0161600,640.00,0.00
415,-0.0162000,600.00,-20.00
416,-0.0162400,640.00,0.00
417,-0.0162800,620.00,-20.00
418,-0.0163200,640.00,0.00
419,-0.0163600,620.00,-20.00
420,-0.0164000,640.00,0.00
421,-0.0164400,600.00,-20.00
422,-0.0164800,640.00,0.00
423,-0.0165200,620.00,-20.00
424,-0.0165600,640.00,0.00
425,-0.0166000,620.00,-20.00
426,-0.0166400,640.00,0.00
427,-0.0166800,620.00,-20.00
428,-0.0167200,660.00,0.00
429,-0.0167600,620.00,-20.00
430,-0.0168000,640.00,0.00
431,-0.0168400,620.00,-20.00
432,-0.0168800,640.00,0.00
433,-0.0169200,600.00,-20.00
434,-0.0169600,640.00,0.00
435,-0.0170000,620.00,-20.00
436,-0.0170400,640.00,0.00
437,-0.0170800,600.00,-20.00
438,-0.0171200,620.00,0.00
439,-0.0171600,620.00,-20.00
440,-0.0172000,640.00,0.00
441,-0.0172400,620.00,-20.00
442,-0.0172800,640.00,0.00
443,-0.0173200,640.00,-20.00
444,-0.0173600,640.00,0.00
445,-0.0174000,620.00,-20.00
446,-0.0174400,640.00,0.00
447,-0.0174800,640.00,-20.00
448,-0.0175200,660.00,0.00
449,-0.0175600,620.00,-20.00
450,-0.0176000,640.00,0.00
451,-0.0176400,620.00,-20.00
452,-0.0176800,640.00,0.00
453,-0.0177200,620.00,-20.00
454,-0.0177600,640.00,0.00
455,-0.0178000,600.00,-20.00
456,-0.0178400,640.00,0.00
457,-0.0178800,620.00,-20.00
458,-0.0179200,660.00,0.00
459,-0.0179600,620.00,-20.00
460,-0.0180000,640.00,0.00
461,-0.0180400,620.00,-20.00
462,-0.0180800,640.00,0.00
